animal_id,name,gender,age,weight,scraped_at,shelter_id,city,state,shelter_name,shelter_profile_url,public_image_url
AHSCN-48277831,"A Pet :: Blue Boi - Newark, NJ",null,null,null,2026-06-15 20:00:37.040829+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48277831-newark-new-jersey-mixed-breed-small-mix,https://pet-uploads.adoptapet.com/7/e/6/1311792224.jpg
AHSCN-47477631,"A Pet :: Boo Boo - Newark, NJ",null,null,null,2026-06-15 20:00:37.040832+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/47477631-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/c/7/e/1297641352.jpg
AHSCN-48269826,"A Pet :: Boomer - Newark, NJ",null,null,null,2026-06-15 20:00:37.040835+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/48269826-newark-new-jersey-belgian-malinois-mix,https://pet-uploads.adoptapet.com/4/8/6/1311070936.jpg
AHSCN-47583601,"A Pet :: Boss - Newark, NJ",null,null,null,2026-06-15 20:00:37.040838+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/47583601-newark-new-jersey-akita-mix,https://pet-uploads.adoptapet.com/b/3/8/1296196801.jpg
AHSCN-47985677,"A Pet :: Bronson - Newark, NJ",null,null,null,2026-06-15 20:00:37.040841+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/47985677-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/b/8/5/1307455500.jpg
AHSCN-47806762,"A Pet :: Bruce - Newark, NJ",null,null,null,2026-06-15 20:00:37.040844+00,AHSCN,Newark,NJ,Associated Humane Societies - Newark,https://searchtools.adoptapet.com/pet/47806762-newark-new-jersey-american-pit-bull-terrier-mix,https://pet-uploads.adoptapet.com/d/6/2/1302908965.jpg
PACC-A879106,Winder,Neutered Male,8 Years Old,59 Pounds,2026-06-15 08:00:43.932557+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A879106,null
PACC-A879121,Bolt,Neutered Male,"2 Years, 10 Months Old",65 Pounds,2026-06-15 08:00:43.933228+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A879121,null
PACC-A879444,Scooby,Neutered Male,"1 Year, 3 Months Old",104 Pounds,2026-06-15 08:00:46.658741+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA/A879444,null
PACC-A880023,Zazu,Neutered Male,5 Years Old,52 Pounds,2026-06-15 08:00:46.659449+00,PACC,Tucson,AZ,Pima Animal Care Center,https://24petconnect.com/PimaAdoptablePets/Details/PIMA2/A880023,null
